year,Total_Enrollment,Total_4_year,University_4_year,Other_4_Year,All_2_Year
1965,5920864,4747912,0,0,1172952
1966,6389872,5063902,0,0,1325970
1967,6911748,5398986,0,0,1512762
1968,7513091,5720795,0,0,1792296
1969,8004660,5937127,0,0,2067533
1970,8580887,6261502,0,0,2319385
1971,8948644,6369355,0,0,2579289
1972,9214820,6458634,0,0,2756186
1973,9602123,6590023,0,0,3012100
1974,10223729,6819735,0,0,3403994
1975,11184859,7214740,2838266,4376474,3970119
1976,11012137,7128816,2780289,4348527,3883321
1977,11285787,7242845,2793418,4449427,4042942
1978,11260092,7231625,2780729,4451222,4028467
1979,11569899,7353233,2839582,4513651,4216666
1980,12096895,7570608,2902014,4668594,4526287
1981,12371672,7655461,2901344,4754117,4716211
1982,12425780,7654074,2883735,4770339,4771706
1983,12464661,7741195,2888813,4852382,4723466
1984,12241940,7711167,2870329,4840838,4530773
1985,12247055,7715978,2870692,4845286,4531077
1986,12503511,7823963,2897207,4926756,4679548
1987,12766642,7990420,2929327,5061093,4776222
1988,13055337,8180182,2978593,5201589,4875155
1989,13538560,8387671,3019115,5368556,5150889
1990,13818637,8578554,3044670,5533884,5240083
1991,14358953,8707053,3065429,5641624,5651900
1992,14487359,8764969,3050345,5714624,5722390
1993,14304803,8738936,3022728,5716208,5565867
1994,14278790,8749080,3009072,5740008,5529710
1995,14261781,8769252,2999641,5769611,5492529
1996,14300255,8802835,2984965,5817870,5497420
1997,14345416,8874676,2995886,5878790,5470740
