year,Total_4_year,University_4_year,Other_4_Year,All_2_Year
1965,4747912,0,0,1172952
1966,5063902,0,0,1325970
1967,5398986,0,0,1512762
1968,5720795,0,0,1792296
1969,5937127,0,0,2067533
1970,6261502,0,0,2319385
1971,6369355,0,0,2579289
1972,6458634,0,0,2756186
1973,6590023,0,0,3012100
1974,6819735,0,0,3403994
1975,7214740,2838266,4376474,3970119
1976,7128816,2780289,4348527,3883321
1977,7242845,2793418,4449427,4042942
1978,7231625,2780729,4451222,4028467
1979,7353233,2839582,4513651,4216666
1980,7570608,2902014,4668594,4526287
1981,7655461,2901344,4754117,4716211
1982,7654074,2883735,4770339,4771706
1983,7741195,2888813,4852382,4723466
1984,7711167,2870329,4840838,4530773
1985,7715978,2870692,4845286,4531077
1986,7823963,2897207,4926756,4679548
1987,7990420,2929327,5061093,4776222
1988,8180182,2978593,5201589,4875155
1989,8387671,3019115,5368556,5150889
1990,8578554,3044670,5533884,5240083
1991,8707053,3065429,5641624,5651900
1992,8764969,3050345,5714624,5722390
1993,8738936,3022728,5716208,5565867
1994,8749080,3009072,5740008,5529710
1995,8769252,2999641,5769611,5492529
1996,8802835,2984965,5817870,5497420
1997,8874676,2995886,5878790,5470740
